brand.name,section.name,area.name,product.name,product.variety,placement.size
Grey Goose,Spirits,Vodka,Vodka,Gift set,750 ml
Grey Goose,Spirits,Vodka,Black Cherry,,750 ml
Grey Goose,Spirits,Vodka,Vodka,,750 ml
Grey Goose,Spirits,Vodka,Vodka,,1.75 L
Hendricks,Register,Flasks,Gin,,375 ml
Hendricks,Register,Nips,Gin,,50 ml
Hendricks,Spirits,Gin,Gin,,750 ml
Hendricks,Spirits,Gin,Midsummer Solstice,,750 ml
Hendricks,Spirits,Gin,Gin,,1.75 L
Hendricks,Spirits,Gin,Midsummer Solstice,,1.75 L
Jack Daniel's,Register,Flasks,Tennessee Fire,,375 ml
Jack Daniel's,Register,Flasks,Tennessee Honey,,375 ml
Jack Daniel's,Register,Nips,Tennessee Whiskey,,50 ml
Jack Daniel's,Register,Nips,Tennessee Fire,,50 ml
Jack Daniel's,Register,Nips,Tennessee Honey,,50 ml
Jack Daniel's,Spirits,Whiskey,Tennessee Fire,,750 ml
Jack Daniel's,Spirits,Whiskey,Tennessee Honey,,750 ml
Jack Daniel's,Register,Flasks,Tennessee Whiskey,,200 ml
Jack Daniel's,Register,Flasks,Tennessee Whiskey,,375 ml
Jack Daniel's,Spirits,Whiskey,Tennessee Whiskey,,750 ml
Jack Daniel's,Spirits,Whiskey,Tennessee Whiskey,,1.75 L
Jagermeister,Register,Flasks,Jagermeister,,375 ml
Jagermeister,Register,Nips,Jagermeister,,50 ml
Jagermeister,Spirits,Liqueur,Jagermeister,,750 ml
Jagermeister,Spirits,Liqueur,Jagermeister,,1.75 L
Jim Beam,Register,Nips,Bourbon,,50 ml
Jim Beam,Register,Flasks,Bourbon,,200 ml
Jim Beam,Register,Flasks,Bourbon,,375 ml
Jim Beam,Spirits,Whiskey,Bourbon,,750 ml
Jim Beam,Spirits,Whiskey,Bourbon,,1.75 L
Jose Cuervo,Register,Nips,Silver Tequila,,50 ml
Jose Cuervo,Register,Nips,Gold Tequila,,50 ml
Jose Cuervo,Register,Flasks,Gold Tequila,,200 ml
Jose Cuervo,Register,Flasks,Silver Tequila,,200 ml
Jose Cuervo,Register,Flasks,Gold Tequila,,375 ml
Jose Cuervo,Register,Flasks,Silver Tequila,,375 ml
Jose Cuervo,Spirits,Tequila,Silver Tequila,,750 ml
Jose Cuervo,Spirits,Tequila,Gold Tequila,,750 ml
Jose Cuervo,Spirits,Tequila,Silver Tequila,,1.75 L
Jose Cuervo,Spirits,Tequila,Gold Tequila,,1.75 L
Kalhua,Register,Flasks,Kalhua,,375 ml
Kalhua,Register,Nips,Kalhua,,50 ml
Kalhua,Spirits,Liqueur,Kalhua,,750 ml
Ketel One,Register,Flasks,Vodka,,375 ml
Ketel One,Register,Nips,Vodka,,50 ml
Ketel One,Spirits,Vodka,Vodka,,750 ml
Ketel One,Spirits,Vodka,Vodka,,1.75 L
Knob Creek,Register,Flasks,Bourbon,,375 ml
Knob Creek,Register,Flasks,Rye,,375 ml
Knob Creek,Register,Nips,Bourbon,,50 ml
Knob Creek,Register,Nips,Rye,,50 ml
Knob Creek,Spirits,Whiskey,Bourbon,,750 ml
Knob Creek,Spirits,Whiskey,Rye,,750 ml
Kraken,Register,Flasks,Dark Rum,,375 ml
Kraken,Register,Nips,Dark Rum,,50 ml
Kraken,Spirits,Rum,Dark Rum,,750 ml
Kraken,Spirits,Rum,Dark Rum,,1.75 L
Lillet,Spirits,Liqueur,Blanc,,750 ml
Lunazul,Spirits,Tequila,Blanco Tequila,,750 ml
Lunazul,Spirits,Tequila,Blanco Tequila,,1.75 L
Luxardo,Spirits,Liqueur,Marschino Liqueur,,750 ml
Maker's Mark,Register,Nips,Kentucky Bourbon,,50 ml
Maker's Mark,Spirits,Whiskey,Founder's Reserve,,750 ml
Maker's Mark,Register,Flasks,Kentucky Bourbon,,200 ml
Maker's Mark,Register,Flasks,Kentucky Bourbon,,375 ml
Maker's Mark,Spirits,Whiskey,Kentucky Bourbon,,750 ml
Maker's Mark,Spirits,Whiskey,Kentucky Bourbon,,1.75 L
Malibu,Register,Flasks,Coconut Rum,,375 ml
Malibu,Register,Nips,Coconut Rum,,50 ml
Malibu,Spirits,Rum,Coconut Rum,,750 ml
Malibu,Spirits,Rum,Coconut Rum,,1.75 L
Mountain Dew,Coolers,Soda,Mountain Dew,,20 oz
Mountain Dew,Coolers,Soda,Mountain Dew,,2 L
New Amsterdam,Register,Nips,Vodka,,50 ml
New Amsterdam,Register,Nips,Gin,,50 ml
New Amsterdam,Register,Flasks,Gin,,200 ml
New Amsterdam,Register,Flasks,Vodka,,200 ml
New Amsterdam,Register,Flasks,Gin,,375 ml
New Amsterdam,Register,Flasks,Vodka,,375 ml
New Amsterdam,Spirits,Vodka,Vodka,,750 ml
New Amsterdam,Spirits,Gin,Gin,,750 ml
New Amsterdam,Spirits,Gin,London Dry Gin,,750 ml
New Amsterdam,Spirits,Vodka,Vodka,,1.75 L
New Amsterdam,Spirits,Gin,Gin,,1.75 L
New Amsterdam,Spirits,Gin,London Dry Gin,,1.75 L
Patron,Register,Flasks,Anejo,,375 ml
Patron,Register,Flasks,Reposado,,375 ml
Patron,Register,Flasks,Silver,,375 ml
Patron,Register,Nips,Silver,,50 ml
Patron,Register,Nips,Anejo,,50 ml
Patron,Spirits,Tequila,Silver,,750 ml
Patron,Spirits,Tequila,Anejo,,750 ml
Patron,Spirits,Tequila,Reposado,,750 ml
Pepsi,Coolers,Soda,Pepsi,,20 oz
Pepsi,Coolers,Soda,Pepsi,,2 L
Pink Lightning,Spirits,Whiskey,Strawberry Moonshine,,750 ml
Rubel,Register,Flasks,Vodka,,200 ml
Rubel,Register,Flasks,Vodka,,375 ml
Rubinoff,Spirits,Vodka,Vodka,,1.75 L
Rubinoff,Spirits,Vodka,Raspberry,,1.75 L
Rubinoff,Spirits,Vodka,Citrus,,1.75 L
Rubinoff,Spirits,Vodka,Green Apple,,1.75 L
Rubinoff,Spirits,Vodka,Lime Vodka,,1.75 L
Rubinoff,Spirits,Vodka,Whipped Cream,,1.75 L
Rumchata,Register,Flasks,Rumchata,,375 ml
Rumchata,Register,Nips,Rumchata,,50 ml
Rumchata,Spirits,Rum,Rumchata,,750 ml
Rumchata,Spirits,Rum,Rumchata,,1.75 L
Sea Ice,Spirits,Vodka,Vodka,,1.75 L
Sea Ice,Register,Flasks,Vodka,,200 ml
Sea Ice,Register,Flasks,Vodka,,375 ml
Short Path,Spirits,Gin,Gin,,750 ml
Short Path,Spirits,Gin,London Dry Gin,,750 ml
Short Path,Spirits,Gin,Spring Gin,,750 ml
Short Path,Spirits,Gin,Summer Gin,,750 ml
Short Path,Spirits,Gin,Autumn Gin,,750 ml
Short Path,Spirits,Gin,Winter Gin,,750 ml
Short Path,Spirits,Liqueur,Triple Sec,,750 ml
Short Path,Spirits,Liqueur,Americano Blanc,,750 ml
Short Path,Spirits,Liqueur,Ouzo,,750 ml
Short Path,Spirits,Liqueur,Apple Brandy,,750 ml
Short Path,Spirits,Liqueur,Pommeau,,750 ml
Short Path,Spirits,Liqueur,Summer Reserve,,750 ml
Short Path,Spirits,Rum,White Rum,,750 ml
Short Path,Spirits,Rum,Gold Rum,,750 ml
Short Path,Spirits,Rum,Rosid,,750 ml
Short Path,Spirits,Whiskey,Whiskey,,750 ml
Short Path,Spirits,Whiskey,Peated Whiskey,,750 ml
Skyy,Spirits,Vodka,Vodka,,750 ml
Skyy,Spirits,Vodka,Vodka,,1.75 L
Smirnoff,Register,Nips,Vodka,,50 ml
Smirnoff,Register,Nips,Vodka,100 proof,50 ml
Smirnoff,Register,Nips,Raspberry,,50 ml
Smirnoff,Register,Nips,Root Beer,,50 ml
Smirnoff,Register,Nips,Green Apple,,50 ml
Smirnoff,Register,Nips,Strawberry,,50 ml
Smirnoff,Register,Nips,Peppermint,,50 ml
Smirnoff,Spirits,Vodka,Blueberry,,750 ml
Smirnoff,Spirits,Vodka,Green Apple,,750 ml
Smirnoff,Spirits,Vodka,Strawberry,,750 ml
Smirnoff,Spirits,Vodka,Peppermint,,750 ml
Smirnoff,Register,Flasks,Vodka,100 proof,200 ml
Smirnoff,Register,Flasks,Vodka,,200 ml
Smirnoff,Register,Flasks,Vodka,100 proof,375 ml
Smirnoff,Register,Flasks,Vodka,,375 ml
Smirnoff,Spirits,Vodka,Vodka,,750 ml
Smirnoff,Spirits,Vodka,Vodka,100 proof,750 ml
Smirnoff,Spirits,Vodka,Raspberry,,750 ml
Smirnoff,Spirits,Vodka,Vodka,,1.75 L
Smirnoff,Spirits,Vodka,Vodka,100 proof,1.75 L
Smirnoff,Spirits,Vodka,Raspberry,,1.75 L
Southern Comfort,Register,Flasks,Southern Comfort,,375 ml
Southern Comfort,Register,Nips,Southern Comfort,,50 ml
Southern Comfort,Spirits,Whiskey,Southern Comfort,,750 ml
Southern Comfort,Spirits,Whiskey,Southern Comfort,,1.75 L
Sprite,Coolers,Soda,Sprite,,20 oz
Sprite,Coolers,Soda,Sprite,,2 L
St. Elder,Spirits,Liqueur,Elderflower Liqueur,,750 ml
St. Germain,Register,Flasks,St. Germain,,375 ml
St. Germain,Register,Nips,St. Germain,,50 ml
St. Germain,Spirits,Liqueur,St. Germain,,750 ml
Tanqueray,Register,Flasks,Gin,,375 ml
Tanqueray,Register,Nips,Gin,,50 ml
Tanqueray,Spirits,Gin,Gin,,750 ml
Tanqueray,Spirits,Gin,Gin,,1.75 L
The Irishman,Spirits,Liqueur,Irish Cream,,750 ml
The Irishman,Spirits,Liqueur,Irish Cream,,1.75 L
Wild Turkey,Register,Nips,Bourbon,,50 ml
Wild Turkey,Spirits,Whiskey,Bourbon,,750 ml
Wild Turkey,Spirits,Whiskey,Bourbon,,1.75 L
